Tiêu đề,Số hiệu,Ngày ban hành,Nội dung,Tóm tắt
ỦY BAN NHÂN DÂNTỈNH BÀ RỊA - VŨNG TÀU-------,"Số:
  06/2025/QĐ-UBND","Bà Rịa - Vũng
  Tàu, ngày 06 tháng 02 năm 2025","QUYẾT ĐỊNH
PHÂN CẤP VÀ QUY ĐỊNH VỀ QUẢN LÝ HỆ THỐNG ĐƯỜNG BỘ TRÊN ĐỊA BÀN TỈNH BÀ RỊA - VŨNG TÀU

Điều 1. Phạm vi điều chỉnh
1. Quyết định này quy định về phân cấp quản lý hệ thống đường tỉnh, quốc lộ, đường gom, đường bên tách khỏi quốc lộ thuộc trách nhiệm quản lý của Ủy ban nhân dân tỉnh và tổ chức giao thông trên hệ thống các tuyến đường này trên địa bàn tỉnh Bà Rịa - Vũng Tàu.
2. Quyết định này quy định về quản lý hệ thống đường đô thị, đường huyện, đường xã, đường thôn trên địa bàn tỉnh Bà Rịa - Vũng Tàu.
3. Các nội dung về quản lý hệ thống đường bộ không quy định tại Quyết định này được thực hiện theo các quy định của Luật Đường bộ năm 2024; Nghị định số165/2024/NĐ-CP ngày 26 tháng 12 năm 2024 của Chính phủ Quy định chi tiết, hướng dẫn thi hành một số điều của Luật Đường bộ và Điều 77 Luật Trật tự, an toàn giao thông đường bộ; Thông tư số 41/2024/TT-BGTVT ngày 15 tháng 11 năm 2024 của Bộ trưởng Bộ Giao thông vận tải Quy định về quản lý, vận hành, khai thác và bảo trì kết cấu hạ tầng đường bộ và các quy định của pháp luật hiện hành có liên quan.
4. Các công trình hạ tầng kỹ thuật sử dụng chung với đường bộ được quản lý theo các quy định chuyên ngành, quản lý đô thị hiện hành, không thuộc phạm vi điều chỉnh của Quyết định này.

Điều 2. Đối tượng áp dụng
Quyết định này áp dụng đối với các cơ quan, tổ chức, cá nhân có liên quan đến công tác quản lý hệ thống đường tỉnh; quốc lộ thuộc thẩm quyền quản lý của Ủy ban nhân dân tỉnh; đường gom, đường bên tách khỏi quốc lộ; đường đô thị; đường huyện; đường xã; đường thôn trên địa bàn tỉnh Bà Rịa - Vũng Tàu.

Điều 3. Phân cấp quản lý hệ thống đường bộ thuộc trách nhiệm quản lý của Ủy ban nhân dân tỉnh
1. Ủy ban nhân dân huyện Côn Đảo quản lý đường tỉnh là đường vòng huyện Côn Đảo được xác định theo Quy hoạch tỉnh Bà Rịa - Vũng Tàu.
2. Ủy ban nhân dân các huyện, thị xã, thành phố (sau đây gọi là Ủy ban nhân dân cấp huyện) quản lý vỉa hè của hệ thống đường tỉnh, quốc lộ, đường gom, đường bên tách khỏi quốc lộ trong phạm vi địa giới hành chính của huyện, thị xã, thành phố.
3. Ủy ban nhân dân huyện Côn Đảo tổ chức giao thông trên đường quy định tại khoản 1 Điều này.
4. Ủy ban nhân dân huyện Côn Đảo thực hiện công tác quản lý, vận hành, khai thác và bảo trì hệ thống đường bộ được phân cấp quản lý theo quy định tại Nghị định số 165/2024/NĐ-CP, Thông tư so 41/2024/TT-BGTVT và các quy định của pháp luật hiện hành có liên quan.

Điều 4. Quy định về quản lý hệ thống đường đô thị, đường huyện, đường xã, đường thôn
1. Ủy ban nhân dân cấp huyện quản lý hệ thống đường đô thị, đường huyện, đường xã, đường thôn trong phạm vi địa giới hành chính của huyện, thị xã, thành phố.
2. Ban Quản lý các Khu công nghiệp quản lý hệ thống đường bộ thuộc trách nhiệm quản lý của nhà nước trong phạm vi các khu công nghiệp.
3. Sở Giao thông vận tải quản lý các hạng mục nền mặt đường, vạch sơn, biển báo, đảo giao thông, chốt đèn tín hiệu giao thông của đường bộ nằm trong phạm vi nút giao giữa hệ thống đường bộ do Sở Giao thông vận tải được ủy quyền quản lý với hệ thống đường bộ do Ủy ban nhân dân cấp huyện, Ban Quản lý các Khu công nghiệp quản lý. Phạm vi nút giao được tính từ mép đường ra mỗi bên 15m.
4. Ủy ban nhân dân cấp huyện, Ban Quản lý các Khu công nghiệp thực hiện công tác quản lý, vận hành, khai thác và bảo trì hệ thống đường bộ được quy định tại khoản 1, khoản 2 Điều này theo quy định tại Nghị định số 165/2024/NĐ-CP, Thông tư số 41/2024/TT-BG","Thư Viện Pháp Luật cam kết cung cấp dịch vụ ổn định, sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật và kết nối cộng đồng dân luật Việt Nam. Mục tiêu của họ là giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu, đồng thời xây dựng một xã hội pháp quyền."
ỦY BAN NHÂN DÂNTỈNH BẮC GIANG-------,Số: 188/QĐ-UBND,"Bắc Giang, ngày
  06 tháng 02 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
* sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
* và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:
* Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
* và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Chúng tôi cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Quyết định 188/QĐ-UBND của UBND tỉnh Bắc Giang công bố danh mục thủ tục hành chính bị bãi bỏ trong lĩnh vực quản lý đê điều và phòng, chống thiên tai thuộc phạm vi quản lý của Sở Nông nghiệp và Phát triển nông thôn. Quyết định này có hiệu lực từ ngày 25/02/2025 và bãi bỏ một số nội dung công bố trước đó liên quan đến lĩnh vực thủy lợi."
"BỘ
  GIAO THÔNG VẬN TẢI-------",Không tìm thấy,"Hà Nội, ngày 06
  tháng 02 năm 2025","```
THÔNG TƯ
BAN HÀNH QUY CHUẨN KỸ THUẬT QUỐC GIA VỀ PHÂN CẤP VÀ ĐÓNG PHƯƠNG
TIỆN THỦY NỘI ĐỊA CAO TỐC

Điều 1.Ban hành kèm theo Thông tư này: Quy chuẩn kỹ thuật quốc gia về
phân cấp và đóng phương tiện thủy nội địa cao tốc.
Mã số đăng ký: QCVN
127:2025/BGTVT.
Điều 2.Thông tư này có hiệu lực thi hành kể từ ngày 01 tháng 09 năm 2025.
Điều 3.Bãi bỏ Thông tư số11/2013/TT-BGTVTngày 22 tháng 5 năm 2013 của
Bộ trưởng Bộ Giao thông vận tải ban hành Quy chuẩn kỹ thuật quốc gia về phân
cấp và đóng tàu thủy cao tốc QCVN 54:2013/BGTVT./.

QUY
CHUẨN KỸ THUẬT QUỐC GIA VỀ PHÂN CẤP VÀ ĐÓNG PHƯƠNG TIỆN THỦY NỘI ĐỊA CAO TỐC
National Technical
Regulation on Classification and Construction of High Speed Inland- Waterway
Ships

Lời nói đầu
QCVN
127:2025/BGTVT do Cục Đăng kiểm Việt Nam biên soạn, Vụ Khoa học - Công nghệ và
Môi trường trình duyệt, Bộ Khoa học và Công nghệ thẩm định, Bộ trưởng Bộ Giao
thông vận tải ban hành theo Thông tư số 06/2025/TT-BGTVT ngày 06 tháng 02 năm 2025
Quy
chuẩn kỹ thuật quốc gia về phân cấp và đóng phương tiện thủy nội địa cao tốc
QCVN127:2025/BGTVT
thay thế QCVN 54:2013/BGTVT của Bộ Giao thông vận tải.
National Technical
Regulation on Classification and Construction of High Speed Inland-Waterway
Ships

MỤC LỤC
1.1Phạm vi điều chỉnh và đối tượng áp dụng
1.2Tài liệu viện dẫn và giải thích từ ngữ
PHẦN 1A  QUY TẮC CHUNG
CHƯƠNG 1QUY ĐỊNH CHUNG
1.1Quy định chung
1.2Loại và thời hạn kiểm tra
1.3Ký hiệu cấp tàu cơ bản
PHẦN 1B  QUY ĐỊNH VỀ PHÂN CẤP VÀ KIỂM TRA
CHƯƠNG 1  QUY ĐỊNH CHUNG
1.1Quy định chung
CHƯƠNG 2KIỂM TRA PHÂN CẤP
2.1Kiểm tra phân cấp trong đóng mới
CHƯƠNG 3KIỂM TRA TÀU TRONG
KHAI THÁC
3.1Quy định chung
3.2Thời hạn kiểm tra chu kỳ
3.3Kiểm tra hàng năm thân tàu, trang thiết bị và thiết bị
phòng, phát hiện và chữa cháy
3.4Kiểm tra trung gian thân tàu, trang thiết bị và thiết
bị phòng, phát hiện và chữa cháy
3.5Kiểm tra định kỳ thân tàu, trang thiết bị và thiết bị
phòng, phát hiện và chữa cháy
3.6Kiểm tra hàng năm hệ thống máy tàu và điện tàu
3.7Kiểm tra trung gian hệ thống máy tàu và điện tàu
3.8Kiểm tra định kỳ hệ thống máy tàu và điện tàu
3.9Kiểm tra trục chân vịt và trục trong ống bao
3.10Kiểm tra hệ thống máy tàu theo kế hoạch
3.11Kiểm tra trang thiết bị an toàn
PHẦN 2  KẾT CẤU THÂN TÀU VÀ TRANG THIẾT BỊ
CHƯƠNG 1QUY ĐỊNH CHUNG
1.1Quy định chung
1.2Vật liệu kết cấu thân tàu
1.3Hàn thép cán làm kết cấu thân tàu
1.4Hàn hợp kim nhôm làm kết cấu thân tàu
1.5Điền khuôn chất dẻo cốt sợi thuỷ tinh làm kết cấu thân
tàu
CHƯƠNG 2CÁC YÊU CẦU VỀ BỐ TRÍ
CHUNG
2.1Quy định chung","Thông tư 06/2025/TT-BGTVT ban hành Quy chuẩn kỹ thuật quốc gia QCVN 127:2025/BGTVT về phân cấp và đóng phương tiện thủy nội địa cao tốc, có hiệu lực từ 01/09/2025, thay thế QCVN 54:2013/BGTVT. Quy chuẩn này áp dụng cho việc phân cấp và đóng phương tiện thủy nội địa cao tốc hoạt động trên đường thủy nội địa, trừ một số loại tàu và tàu có công suất nhỏ. Văn bản quy định chi tiết về kết cấu, trang thiết bị, hệ thống máy, điện, phòng cháy chữa cháy, tính nổi, ổn định, trang bị an toàn và ngăn ngừa ô nhiễm cho phương tiện thủy nội địa cao tốc."
ỦY BAN NHÂN DÂNTHÀNH PHỐ HÀ NỘI-------,Số: 32/KH-UBND,"Hà Nội, ngày 05
  tháng 02 năm 2025","KẾ HOẠCH
PHÒNG, CHỐNG HIV/AIDS TRÊN ĐỊA BÀN THÀNH PHỐ HÀ NỘI NĂM 2025

I. MỤC TIÊU, CHỈ TIÊU
1. Mục tiêu chung
Đẩy mạnh các hoạt động phòng, chống HIV/AIDS để giảm số người mới nhiễm HIV và tử vong liên quan AIDS, chấm dứt dịch AIDS tại thành phố Hà Nội vào năm 2030, giảm tối đa tác động của dịch HIV/AIDS đến sự phát triển kinh tế - xã hội.
2. Mục tiêu cụ thể
a) 90% người nhiễm HIV biết tình trạng nhiễm HIV của mình.
b) 90% người nhiễm HIV trong diện quản lý được điều trị bằng thuốc kháng vi rút HIV (ARV).
c) 98% bệnh nhân điều trị ARV có tải lượng vi rút HIV dưới ngưỡng ức chế.
3. Các chỉ tiêu
a) 370 người nhiễm HIV mới được phát hiện năm 2025.
b) 80% người nghiện chích ma túy tiếp cận với chương trình bơm kim tiêm; 70% phụ nữ mại dâm được tiếp cận với chương trình bao cao su; 70% nam có quan hệ tình dục đồng giới (MSM) tiếp cận với chương trình bao cao su.
c) 4.350 người nghiện các chất dạng thuốc phiện được điều trị bằng thuốc thay thế Methadone.
d) Hoàn thành 300 mẫu giám sát trọng điểm theo quy định của Bộ Y tế.
e) 13.737 người nhiễm HIV/AIDS được duy trì điều trị bằng thuốc kháng vi rút (Bao gồm các bệnh viện tuyến trung ương và bệnh viện đại học Y Hà Nội).
g) 400 người nhiễm HIV bắt đầu được điều trị bằng thuốc ARV.
h) 85% bệnh nhân đang điều trị ARV được làm xét nghiệm tải lượng HIV; 98% bệnh nhân có kết quả tải lượng vi rút HIV dưới ngưỡng ức chế (< 1.000 Cp/ml).
i) 9.324 khách hàng có nguy cơ cao nhiễm HIV được điều trị dự phòng trước phơi nhiễm bằng thuốc ARV (PrEP) ít nhất 1 lần.
k) 95,2% người nhiễm đang điều trị HIV/AIDS hoàn thành điều trị Lao tiềm ẩn.

II. NỘI DUNG, GIẢI PHÁP
1. Dự phòng và can thiệp giảm tác hại
1.1. Đổi mới và nâng cao chất lượng công tác thông tin, giáo dục, truyền thông
- Đa dạng hóa các hình thức thông tin, tuyên truyền trên báo chí, chú trọng tuyên truyền trên các báo điện tử có lượng độc giả lớn; trên các hình thức thông tin cơ sở (đài truyền thanh, bảng tin công cộng, tuyên truyền viên và báo cáo viên cơ sở...); tuyên truyền cổ động (pano, áp phích...); xây dựng các sản phẩm truyền thông (video clip, phim...).
- Truyền thông phòng, chống HIV/AIDS trên các phương tiện truyền thông đại chúng (truyền hình, mạng xã hội...). Thực hiện phóng sự về phòng, chống HIV/AIDS trên đài truyền hình. Tăng cường tuyên truyền trên nền tảng công nghệ số của các mạng xã hội, các ứng dụng có khả năng tiếp cận và được nhóm đối tượng đích thường sử dụng.
- Cung cấp thông tin, kiến thức, tài liệu tuyên truyền phòng, chống HIV/AIDS và thông điệp tích cực về bệnh HIV/AIDS trên Cổng/Trang thông tin điện tử của ngành Y tế và các cơ quan, đơn vị Thành phố.
- Tổ chức các hoạt động truyền thông trực tiếp bằng nhiều hình thức, phù hợp với từng nhóm đối tượng tại 30 quận, huyện, thị xã:
+ Đối tượng ưu tiên truyền thông: người nghiện, người sử dụng trái phép chất ma túy; người nhiễm HIV; người có quan hệ tình dục đồng giới; người chuyển giới nữ; người bán dâm, mua dâm; người có quan hệ tình dục với các đối tượng trên, vợ, chồng, bạn tình, bạn chích của người nhiễm HIV.
+ Đối tượng truyền thông khác: lãnh đạo đảng, chính quyền địa phương các cấp; phụ nữ trong độ tuổi sinh đẻ, bao gồm phụ nữ mang thai; gia đình có người nhiễm HIV; học sinh, sinh viên; người dân ở các huyện ngoại thành; người thuộc nhóm người di biến động...
- Tăng cường truyền thông phòng, chống HIV/AIDS nhân sự kiện, đặc biệt là tháng cao điểm dự phòng lây truyền HIV từ mẹ sang con và tháng hành động quốc gia và","Thư Viện Pháp Luật cam kết cung cấp dịch vụ bình thường và sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật, kết nối cộng đồng dân luật. Mục tiêu là giúp công chúng giảm thiểu rủi ro pháp lý, nắm bắt cơ hội làm giàu và xây dựng một xã hội pháp quyền. Tổ chức cũng thông báo về việc lưu trữ và sử dụng thông tin khách hàng theo Nghị định 13/2023/NĐ-CP."
BỘ Y TẾ-------,Số: 157/TB-BYT,"Hà Nội, ngày 05
  tháng 02 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần.","Thư Viện Pháp Luật cam kết cung ứng dịch vụ bình thường và giúp công chúng giảm thiểu rủi ro pháp lý, nắm bắt cơ hội làm giàu thông qua việc sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật và kết nối cộng đồng Dân Luật Việt Nam. Thư Viện Pháp Luật cũng thông báo về việc lưu trữ và sử dụng thông tin khách hàng theo Nghị định 13/2023/NĐ-CP, yêu cầu xác nhận sự đồng ý của thành viên."
BỘ XÂY DỰNG-------,Số: 102/QĐ-BXD,"Hà Nội, ngày 05
  tháng 02 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Chúng tôi cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","THƯ VIỆN PHÁP LUẬT cam kết cung ứng dịch vụ bình thường, sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật và kết nối cộng đồng Dân Luật Việt Nam. Mục tiêu là giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu, đồng thời xây dựng một xã hội pháp quyền."
BỘ Y TẾCỤC QUẢN LÝ DƯỢC-------,Số: 71/QĐ-QLD,"Hà Nội, ngày 05
  tháng 02 năm 2025","**Quyết định về việc thu hồi số tiếp nhận Phiếu công bố sản phẩm mỹ phẩm**

Cục Quản lý Dược quyết định thu hồi 15 số tiếp nhận Phiếu công bố sản phẩm mỹ phẩm do Cục cấp đối với sản phẩm mỹ phẩm tại Danh mục kèm theo Quyết định.

*   Doanh nghiệp chịu trách nhiệm đưa sản phẩm ra thị trường: Công ty TNHH thương mại dịch vụ và đầu tư Aesthetic Solution Diệp Anh.
*   Lý do thu hồi: Công ty đề nghị thu hồi tự nguyện số tiếp nhận Phiếu công bố sản phẩm mỹ phẩm.

Quyết định này có hiệu lực kể từ ngày ký ban hành.

**Thông báo về Lưu trữ, Sử dụng Thông tin Khách hàng**

Xác nhận sự đồng ý của thành viên khi thu thập, lưu trữ, sử dụng thông tin mà quý khách đã cung cấp trong quá trình đăng ký, sử dụng sản phẩm, dịch vụ của THƯ VIỆN PHÁP LUẬT.
Quý Thành viên xác nhận giúp THƯ VIỆN PHÁP LUẬT được tiếp tục lưu trữ, sử dụng những thông tin mà Quý Thành viên đã, đang và sẽ cung cấp khi tiếp tục sử dụng dịch vụ.

**Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:**

*   Sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật.
*   Kết nối cộng đồng Dân Luật Việt Nam.

**Nhằm:**

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”.
*   Cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần.","Thư Viện Pháp Luật cam kết cung cấp dịch vụ bình thường, sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật và kết nối cộng đồng Dân Luật Việt Nam. Mục tiêu là giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu, đồng thời xây dựng một xã hội pháp quyền."
BỘ Y TẾ-------,Số: 158/TB-BYT,"Hà Nội, ngày 05
  tháng 02 năm 2025","Việc triển khai xạ trị proton và xây dựng Trung tâm Xạ trị Proton tại Việt Nam là cần thiết để đáp ứng công tác điều trị bệnh ung thư tại Việt Nam.

Bổ sung tính cần thiết, trong đó làm rõ hậu quả ở trẻ em khi không có xạ trị proton, bổ sung bằng chứng về các quốc gia ưu tiên xạ trị proton cho trẻ em, tỷ lệ chi trả bảo hiểm y tế... Về dự kiến đề xuất tỷ lệ thanh toán từ Quỹ khám, chữa bệnh bảo hiểm y tế: nghiên cứu, xếp theo thứ tự ưu tiên trẻ em, người cao tuổi (ví dụ như trẻ em được chi trả 80%, người già được chi trả 60%).

Bổ sung số lượng người Việt Nam ra nước ngoài điều trị bằng xạ trị proton (nghiên cứu lấy thông tin từ Ban Bảo vệ Chăm sóc sức khỏe cán bộ Trung ương)

Phân tích rõ hơn về hiệu quả kinh tế xã hội, đặc biệt là hiệu quả về xã hội của Đề án: tăng tỷ lệ chữa khỏi, hạn chế tái phát, di căn, tạo ra của cải, vật chất. Việc thu hồi vốn phụ thuộc nhiều vào cơ chế thanh toán bảo hiểm y tế. Việc triển khai trước mắt từ 1 đến 3 máy là bước đầu, sau đó tiếp tục nhân rộng dựa trên kết quả thực tiễn.

Đề nghị phân tích cụ thể ưu điểm, hạn chế, bổ sung tính đặc thù của từng loại công nghệ xạ trị proton. Bổ sung dữ liệu về tình hình, tỷ lệ sử dụng các loại công nghệ xạ trị proton trên thế giới, đề xuất công nghệ cho Việt Nam. Các nhà chuyên môn, cơ quan quản lý cần thống nhất công nghệ lựa chọn cho Việt Nam.

Bộ Y tế xây dựng Đề án tổng thể, trong đó bao gồm 03 tiểu dự án của 03 Bệnh viện: Bệnh viện K, Bệnh viện Đa khoa Trung ương Huế và Bệnh viện Chợ Rẫy. Tùy vào tiến độ xây dựng, hoàn thành của các tiểu dự án để ưu tiên triển khai trước. Dự kiến chuẩn bị đầu tư trong năm 2025, phấn đấu hoàn thành trong giai đoạn trung hạn 2026-2030.

...loại rủi ro pháp lý, nắm cơ hội làm giàu…","Thông báo của Thư Viện Pháp Luật khẳng định cam kết cung cấp dịch vụ ổn định, sử dụng công nghệ cao để tổ chức văn bản pháp luật và kết nối cộng đồng dân luật. Mục tiêu là giúp công chúng giảm thiểu rủi ro pháp lý và tận dụng cơ hội làm giàu, đồng thời xây dựng một xã hội pháp quyền."
"THỦ
  TƯỚNG CHÍNH PHỦ-------",Số: 245/QĐ-TTg,"Hà Nội, ngày 05
  tháng 02 năm 2025","sử dụng công nghệcaođể tổ chức lại hệ thống văn bản pháp luật,
kết nối cộng đồngDân Luật Việt Nam,
Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
cùng công chúng xây dựng, thụ hưởng mộtxã hội pháp quyền trong tương lai gần;","Quyết định 245/QĐ-TTg phê duyệt quy hoạch phát triển và ứng dụng năng lượng nguyên tử của Việt Nam đến năm 2030, tầm nhìn 2050, nhằm nâng cao năng suất, chất lượng và bảo đảm an toàn, an ninh hạt nhân. Quy hoạch này tập trung vào việc hoàn thiện hệ thống pháp luật, phát triển cơ sở hạ tầng, đào tạo nguồn nhân lực, và đẩy mạnh ứng dụng năng lượng nguyên tử trong nhiều lĩnh vực kinh tế - xã hội."
BỘ Y TẾ-------,Số: 156/TB-BYT,"Hà Nội, ngày 05
  tháng 02 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:

*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Chúng tôi cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Thông báo từ Thư Viện Pháp Luật khẳng định cam kết cung cấp dịch vụ bình thường trong mọi tình huống, sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật và kết nối cộng đồng Dân Luật Việt Nam. Mục tiêu là giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu, đồng thời hướng tới xây dựng một xã hội pháp quyền."
ỦY BAN NHÂN DÂNTỈNH NINH THUẬN-------,Số: 10/2025/QĐ-UBND,"Ninh
  Thuận, ngày 05 tháng 02 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Chúng tôi cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Văn bản là thông báo của Thư Viện Pháp Luật gửi đến khách hàng, khẳng định cam kết cung cấp dịch vụ bình thường trong mọi tình huống, dù có khó khăn do Covid-19. Đồng thời, thông báo này cũng xin xác nhận sự đồng ý của thành viên về việc tiếp tục lưu trữ và sử dụng thông tin cá nhân theo Nghị định 13/2023/NĐ-CP."
CHÍNH PHỦ-------,Số: 25/NQ-CP,"Hà Nội, ngày 05
  tháng 02 năm 2025","Năm 2025 có ý nghĩa đặc biệt quan trọng, là năm tăng tốc, bứt phá, về đích, là năm cuối thực hiện Kế hoạch phát triển kinh tế - xã hội 5 năm 2021-2025... Trong bối cảnh đó, nhằm thực hiện thắng lợi mục tiêu tăng trưởng cả nước năm 2025 đạt 8% trở lên, tạo nền tảng vững chắc để đạt tốc độ tăng trưởng hai con số trong giai đoạn 2026-2030, Chính phủ yêu cầu:

Bộ trưởng, Thủ trưởng cơ quan ngang bộ, cơ quan thuộc Chính phủ... tập trung chỉ đạo thực hiện các nhiệm vụ sau đây:

*   Theo dõi sát, nắm chắc diễn biến tình hình... hoàn thành thắng lợi các mục tiêu, chỉ tiêu tăng trưởng ngành, lĩnh vực và tăng trưởng GRDP của địa phương.
*   Khẩn trương xây dựng kịch bản tăng trưởng của ngành, lĩnh vực hằng tháng, hằng quý... gửi Bộ Kế hoạch và Đầu tư kịch bản tăng trưởng trong tháng 02 năm 2025 để tổng hợp, theo dõi.
*   Chủ động thực hiện các nhiệm vụ, giải pháp theo thẩm quyền và nghiên cứu, đề xuất các cơ chế, chính sách, nhiệm vụ, giải pháp cụ thể trong trường hợp vượt thẩm quyền, gửi Bộ Kế hoạch và Đầu tư để tổng hợp, báo cáo Chính phủ, Thủ tướng Chính phủ nhằm kịp thời tháo gỡ khó khăn, vướng mắc.
*   Báo cáo đánh giá tình hình thực hiện hằng tháng, hằng quý, cập nhật kịch bản tăng trưởng (nếu có) và kiến nghị, đề xuất giải pháp để đạt được mục tiêu tăng trưởng, gửi Bộ Kế hoạch và Đầu tư trước ngày 25 hằng tháng.

Ủy ban nhân dân các tỉnh, thành phố trực thuộc Trung ương khẩn trương chỉ đạo nghiên cứu, rà soát các nguồn lực, động lực, năng lực mới cho tăng trưởng và giải pháp thực hiện, báo cáo Hội đồng nhân dân cùng cấp trong tháng 02 năm 2025 để điều chỉnh mục tiêu tăng trưởng GRDP của địa phương trong trường hợp Hội đồng nhân dân đã quyết nghị mục tiêu tăng trưởng thấp hơn mục tiêu tại Nghị quyết này nhằm quán triệt và tổ chức thực hiện đồng bộ, toàn diện, hiệu quả.

Bộ Kế hoạch và Đầu tư chủ trì, phối hợp với các bộ, ngành, địa phương tổng hợp, theo dõi, đánh giá tình hình thực hiện và kiến nghị, đề xuất (nếu có), báo cáo Chính phủ tại Phiên họp Chính phủ thường kỳ hằng tháng.

Bộ Thông tin và Truyền thông chủ trì, phối hợp với Ban Tuyên giáo và Dân vận Trung ương, các cơ quan thông tấn, báo chí, bộ, ngành trung ương và địa phương tổ chức phổ biến, tuyên truyền rộng rãi Nghị quyết này.

Văn phòng Chính phủ theo dõi, đôn đốc việc thực hiện Nghị quyết này theo chức năng, nhiệm vụ được giao.

...Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,",Văn bản là thông báo của THƯ VIỆN PHÁP LUẬT về việc tiếp tục cung cấp dịch vụ trong mọi tình huống và cam kết giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu. Văn bản cũng thông báo về việc lưu trữ và sử dụng thông tin khách hàng theo Nghị định 13/2023/NĐ-CP.
"THỦ
  TƯỚNG CHÍNH PHỦ-------",Số: 244/QĐ-TTg,"Hà Nội, ngày 05
  tháng 02 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
- Sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
- và kết nối cộng đồng Dân Luật Việt Nam,
nhằm:
- Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
- và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần.","Thư Viện Pháp Luật cam kết cung cấp dịch vụ ổn định, sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật và kết nối cộng đồng Dân Luật Việt Nam. Mục tiêu là giúp công chúng giảm thiểu rủi ro pháp lý, nắm bắt cơ hội làm giàu và xây dựng một xã hội pháp quyền."
